word,memory,syn,ant,type,day,def,syn_def,ant_def
Submissive,服從的/順從的,Obedient,Defiant,Elite,97,(BDSM) One who submits to a dominant partner in sexual practices.,One who obeys.,One who defies opposition.
Imminent,逼近。雙M,Approaching,Distant,Elite,98,"About to happen, occur, or take place very soon, especially of something which won't last long.","To come or go near, in place or time; to draw nigh; to advance nearer.","Far off (physically, logically or mentally)."
Revive,使蘇醒/恢復,Recover,Die,Core,98,To return to life; to become reanimated or reinvigorated.,Recovery.,To stop living; to become dead; to undergo death.
Stretched,拉長的,Extended,Short,Core,98,To lengthen by pulling.,To increase in extent.,A short circuit.
Favourite,最喜愛的。英式拼寫有-u-,Preferred,Hated,Core,98,A person or thing who enjoys special regard or favour.,To be in the habit of choosing something rather than something else; to favor; to like better.,To dislike intensely or greatly.
Adhere,堅持/黏附。如同膠水,Stick,Detach,Elite,98,"To stick fast or cleave, as a glutinous substance does; to become joined or united.","An elongated piece of wood or similar material, typically put to some use, for example as a wand or baton.",To take apart from; to take off.
Shoulder,肩膀。注意-oul-音,Joint,Foot,Core,99,The part of an animal's body between the base of the neck and forearm socket.,"The point where two components of a structure join, but are still able to rotate.",A biological structure found in many animals that is used for locomotion and that is frequently a separate organ at the terminal part of the leg.
Appearance,外表。注意 -ance,Look,Reality,Core,99,The act of appearing or coming into sight; the act of becoming visible to the eye.,the feelings expressed on a person's face,The state of being actual or real.
Interpret,口譯/解釋,Translate,Confuse,Core,99,"To explain or tell the meaning of; to translate orally into intelligible or familiar language or terms. applied especially to language, but also to dreams, signs, conduct, mysteries, etc.",In Euclidean spaces: a set of points obtained by adding a given fixed vector to each point of a given set.,"To puzzle, perplex, baffle, bewilder (somebody)."
Cynical,憤世嫉俗,Skeptical,Trusting,Elite,99,Of or relating to the belief that human actions are motivated only or primarily by base desires or selfishness.,"Having, or expressing doubt; questioning.","To place confidence in; to rely on, to confide, or have faith, in."
Polarity,極性,Difference,,Elite,99,The state of being a north pole or south pole; the magnetic equivalent of electric charge,The quality of being different.,
Deny,否認/拒絕,Reject,Admit,Core,100,To disallow or reject.,Something that is rejected.,"To allow to enter; to grant entrance (to), whether into a place, into the mind, or into consideration"
Banish,驅逐出境,Expel,Welcome,Core,100,(heading) To send someone away and forbid that person from returning.,To eject or erupt.,"The act of greeting someone’s arrival, especially by saying ""Welcome!""; reception."
Trivia,瑣事,Trifles,Facts,Core,100,"Insignificant trifles of little importance, especially items of unimportant information","An English dessert made from a mixture of thick custard, fruit, sponge cake, jelly and whipped cream.",Something actual as opposed to invented.
Temperate,溫和的/適度的,Mild,Extreme,Elite,100,To render temperate; to moderate,"A relatively low-gravity beer, often with a dark colour; mild ale","The greatest or utmost point, degree or condition."
Palaeontologist,古生物學家,,,Elite,100,a specialist in paleontology,,
Entirely,完全地,Totally,Partly,Core,101,To the full or entire extent.,To the fullest extent or degree.,"In part, or to some degree, but not completely."
Lightning,閃電。沒有中間的-e-,Flash,Darkness,Core,101,"A flash of light produced by short-duration, high-voltage discharge of electricity within a cloud, between clouds, or between a cloud and the earth.","A device that produces a short flash of light to help illuminate a scene, mostly for night-time or indoors photography.",The state of being dark; lack of light.
Caution,小心/警告,Warning,Carelessness,Core,101,Precept or warning against evil or danger of any kind; exhortation to wariness; advice; injunction; prudence in regard to danger; provident care,To make (someone) aware of (something impending); especially:,Lack of care.
Chivalrous,有騎士風度的,Gallant,Rude,Elite,101,"(of a man) Honourable, especially to women; gallant.","Brave, valiant.",Bad-mannered.
Boycott,抵制。雙T,Reject,Accept,Elite,101,The act of boycotting.,Something that is rejected.,"To receive, especially with a consent, with favour, or with approval."
Sane,神智正常的,Rational,Insane,Core,102,Being in a healthy condition; not deranged; thinking rationally.,A rational number: a number that can be expressed as the quotient of two integers.,Exhibiting unsoundness or disorder of mind; not sane; mad
Convert,轉換/改變,Change,Keep,Core,102,A person who has converted to a religion.,The process of becoming different.,"The main tower of a castle or fortress, located within the castle walls."
Occupied,被佔用的。y變i,Busy,Free,Core,102,"Reserved, engaged.",A police officer.,Free transfer
Ambiguous,模棱兩可,Vague,Clear,Elite,102,Open to multiple interpretations.,A wandering; a vagary.,"Full extent; distance between extreme limits; especially; the distance between the nearest surfaces of two bodies, or the space between walls."
Disarray,混亂/不整潔,Disorder,Order,Elite,102,Lack of array or regular order; disorder; confusion.,Absence of order; state of not being arranged in an orderly manner.,"Arrangement, disposition, or sequence."
Purpose,目的/意圖,Intention,Accident,Core,103,An objective to be reached; a target; an aim; a goal.,The goal or purpose behind a specific action or set of actions.,An unexpected event with negative consequences occurring without the intention of the one suffering the consequences.
Rare,稀有的,Uncommon,Common,Core,103,A scarce or uncommon item.,Rare; not readily found; unusual.,"Mutual good, shared by more than one."
Twilight,黃昏/黎明,Dusk,Dawn,Core,103,"The soft light in the sky seen before the rising and (especially) after the setting of the sun, occasioned by the illumination of the earth’s atmosphere by the direct rays of the sun and their reflection on the earth.","A period of time at the end of day when the sun is below the horizon but before the full onset of night, especially the darker part of twilight.",The morning twilight period immediately before sunrise.
Lucrative,賺錢的,Profitable,Loss,Elite,103,Producing a surplus; profitable.,Producing a profit.,"The result of no longer possessing an object, a function, or a characteristic due to external causes or misplacement."
Sufficient,足夠。雙F。-ient字尾,Enough,Lacking,Elite,103,Equal to the end proposed; adequate to what is needed; enough,Sufficiently.,"To be without, to need, to require."
Recognise,認出。注意中間有-g-,Identify,Ignore,Core,104,To match (something or someone which one currently perceives) to a memory of some previous encounter with the same person or thing.,To establish the identity of someone or something.,To deliberately not listen or pay attention to.
Endurance,忍耐,Stamina,Weakness,Core,104,The measure of a person's stamina or persistence.,"The energy and strength for continuing to do something over a long period of time; power of sustained exertion, or resistance to hardship, illness etc.",The condition of being weak.
Odour,氣味。英式-our,Scent,,Core,104,"Any smell, whether fragrant or offensive.",A distinctive odour or smell.,
Mariner,水手/船員,Sailor,,Elite,104,A sailor.,A person in the business of navigating ships or other vessels,
Cavalry,騎兵。注意不要拼成Calvary,Horsemen,Infantry,Elite,104,The military arm of service that fights while riding horses.,A man who rides a horse.,"Soldiers who fight on foot (on land), as opposed to cavalry and other mounted units, regardless of external transport (e.g. airborne)."
Stern,嚴厲的/船尾,Severe,Kind,Core,105,Having a hardness and severity of nature or manner.,Very bad or intense.,"A type, race or category; a group of entities that have common characteristics such that they may be grouped together."
Fleet,艦隊/快速的,Group,Slow,Core,105,A group of vessels or vehicles.,A number of things or persons being in some relation to one another.,Someone who is slow; a sluggard.
Credible,可信,Believable,FALSE,Core,105,Believable or plausible.,Capable of being believed; credible.,One of two options on a true-or-false test.
Yield,產出/屈服。i 在 e 前,Produce,Resist,Elite,105,"To pay, give in payment; repay, recompense; reward; requite.","To yield, make or manufacture; to generate.",A protective coating or covering.
Besieged,被圍困的,Surrounded,Free,Elite,105,"To beset or surround with armed forces for the purpose of compelling to surrender, to lay siege to, beleaguer.",To encircle something or simultaneously extend in all directions.,Free transfer
Community,社區。雙M,Society,Solitude,Core,106,"A group sharing a common understanding, and often the same language, law, manners, and/or tradition.","A long-standing group of people sharing cultural aspects such as language, dress, norms of behavior and artistic forms.","Aloneness; state of being alone or solitary, by oneself."
Appreciate,感激/欣賞,Value,Ignore,Core,106,To be grateful or thankful for.,The quality (positive or negative) that renders something desirable or valuable.,To deliberately not listen or pay attention to.
Minimum,最小值的,Least,Maximum,Core,106,The lowest limit.,Something of the smallest possible extent; an indivisible unit.,The highest limit
Asunder,分離地/化為碎片,Apart,Together,Elite,106,Into separate parts or pieces.,"(Used after a noun or in the predicate) Exceptional, distinct.",Coherent; well organized.
Venerable,受人尊敬的,Respected,Infamous,Elite,106,"Commanding respect because of age, dignity, character or position.",To have respect for.,"Having a bad reputation, disreputable; notoriously bad, unpleasant or evil; widely known, especially for something bad."
Alteration,改變,Change,Fix,Core,107,The act of altering or making different.,The process of becoming different.,A repair or corrective action.
Vacant,空的。注意字尾 -ant,Empty,Full,Core,107,Not occupied; empty.,"(usually plural) A container, especially a bottle, whose contents have been used up, leaving it empty.",Containing the maximum possible amount that can fit in the space available.
Earnest,認真的/真誠的,Serious,Frivolous,Core,107,Gravity; serious purpose; earnestness.,Without humor or expression of happiness; grave in manner or disposition,"Silly, especially at an inappropriate time or in an inappropriate manner."
Committee,2M 2T 2E。委員會,Council,Individual,Elite,107,"A body of one or more persons convened for the accomplishment of some specific purpose, typically with formal protocols.","A committee that leads or governs (e.g. city council, student council).","A person considered alone, rather than as belonging to a group of people."
Contempt,輕視/蔑視,Scorn,Respect,Elite,107,"The state or act of contemning; the feeling or attitude of regarding someone or something as inferior, base, or worthless; scorn, disdain.",Contempt or disdain.,An attitude of consideration or high regard
Conclusion,結論。注意 -sion,End,Beginning,Core,108,"The end, finish, close or last part of something.",The terminal point of something in space or time.,"The act of doing that which begins anything; commencement of an action, state, or space of time; entrance into being or upon a course; the first act, effort, or state of a succession of acts or states."
Average,平均。中間有-e-,Normal,Extreme,Core,108,The arithmetic mean.,"A line or vector that is perpendicular to another line, surface, or plane.","The greatest or utmost point, degree or condition."
Intention,意圖/目的,Purpose,Accident,Core,108,The goal or purpose behind a specific action or set of actions.,An objective to be reached; a target; an aim; a goal.,An unexpected event with negative consequences occurring without the intention of the one suffering the consequences.
Assiduous,勤勉的。雙S,Diligent,Lazy,Elite,108,"Hard-working, diligent or regular (in attendance or work); industrious.",Performing with industrious concentration; hard-working and focused.,A lazy person.
Obstinate,頑固的。11+極常考,Stubborn,Flexible,Elite,108,"Stubbornly adhering to an opinion, purpose, or course, usually with implied unreasonableness; persistent.",Stubbornness.,Something that is flexible.
Rigid,硬的/嚴格的,Stiff,Flexible,Core,109,A bicycle with no suspension system.,"An average person, usually male, of no particular distinction, skill, or education, often a working stiff or lucky stiff.",Something that is flexible.
Comparison,比較,Contrast,,Core,109,The act of comparing or the state or process of being compared.,"A difference in lightness, brightness and/or hue between two colours that makes them more or less distinguishable.",
Consent,同意/贊成,Agreement,Refusal,Core,109,Voluntary agreement or permission.,An understanding between entities to follow a specific course of conduct.,The act of refusing.
Inconspicuous,不顯眼的。-sc-拼寫,Hidden,Obvious,Elite,109,Not prominent nor easily noticeable,Located or positioned out of sight; not visually apparent.,"Easily discovered, seen, or understood; self-explanatory."
Impediment,障礙,Hurdle,Help,Elite,109,A hindrance; that which impedes or obstructs progress.,"An artificial barrier, variously constructed, over which athletes or horses jump in a race.",Action given to provide assistance; aid.
Criticise,批評。-cise,Condemn,Praise,Core,110,To find fault (with something).,To strongly criticise or denounce; to excoriate the perpetrators of.,Commendation; favourable representation in words
Abandon,A-Band (樂隊) 離開了,Desert,Keep,Core,110,"To give up or relinquish control of, to surrender or to give oneself over, or to yield to one's emotions.",(usually in the plural) That which is deserved or merited; a just punishment or reward,"The main tower of a castle or fortress, located within the castle walls."
Sacred,神聖的,Holy,Cursed,Core,110,"Characterized by solemn religious ceremony or religious use, especially, in a positive sense; consecrated, made holy.",A thing that is extremely holy; used almost exclusively in Holy of Holies.,To place a curse upon (a person or object).
Antagonise,對抗。-ise結尾,Provoke,Soothe,Elite,110,To work against; to oppose (especially to incite reaction),To cause someone to become annoyed or angry.,"To restore to ease, comfort, or tranquility; relieve; calm; quiet; refresh."
Commemorate,雙M。紀念,Honour,Forget,Elite,110,To honour the memory of someone or something with a ceremony or object.,"Recognition of importance or value; respect; veneration (of someone, usually for being morally upright or successful)",To lose remembrance of.
Erect,垂直的/豎立,Upright,Flat,Core,111,Upright; vertical or reaching broadly upwards.,"Any vertical part of a structure, especially one of the goal posts in sports.",An area of level ground.
Jovial,愉快的,Happy,Sad,Core,111,"Cheerful and good-humoured; jolly, merry.","A happy event, thing, person, etc.",To make melancholy; to sadden or grieve (someone).
Objection,反對/異議,Challenge,Approval,Core,111,The act of objecting.,A confrontation; a dare.,"An expression granting permission; an indication of agreement with a proposal; an acknowledgement that a person, thing or event meets requirements."
Malleable,可塑的。雙L,Flexible,Rigid,Elite,111,"Able to be hammered into thin sheets; capable of being extended or shaped by beating with a hammer, or by the pressure of rollers.",Something that is flexible.,A bicycle with no suspension system.
Meticulous,一絲不苟,Precise,Careless,Elite,111,"Characterized by very precise, conscientious attention to details.",(NNES or European Union documents) To make or render precise; to specify.,Not concerned or worried (about).
Vapour,水汽/蒸氣。英式 -our,Steam,,Core,112,"Cloudy diffused matter such as mist, steam or fumes suspended in the air.",The vapor formed when water changes from liquid phase to gas phase.,
Ramble,漫步/閒逛,Wander,Stay,Core,112,A leisurely stroll; a recreational walk in the countryside.,The act or instance of wandering.,Continuance or a period of time spent in a place; abode for an indefinite time; sojourn.
Labour,勞動/勞工。英式-our,Work,Leisure,Core,112,"Effort expended on a particular task; toil, work.",(heading) Employment.,Freedom provided by the cessation of activities.
Rhythm,節奏。注意只有Y一個元音,Beat,Silence,Elite,112,"The variation of strong and weak elements (such as duration, accent) of sounds, notably in speech or music, over time; a beat or meter.",A stroke; a blow.,The absence of any sound.
Bizarre,雙R。奇異的怪胎,Strange,Ordinary,Elite,112,Strangely unconventional in style or appearance.,Vagina,"A person with authority; authority, ordinance."
Artificial,人造的。注意-ci-,Fake,Natural,Core,113,Man-made; of artifice.,"Something which is not genuine, or is presented fraudulently.","A native inhabitant of a place, country etc."
Loneliness,孤獨。注意y變i,Solitude,Company,Core,113,A feeling of depression resulting from being alone or from having no companions.,"Aloneness; state of being alone or solitary, by oneself.",A team; a group of people who work together professionally.
Enterprise,企業/進取心,Business,,Core,113,"A company, business, organization, or other purposeful endeavor.",A specific commercial enterprise or establishment.,
Inevitable,不可避免,Sure,Unlikely,Elite,113,"Something that is predictable, necessary, or cannot be avoided.","Physically secure and certain, non-failing, reliable.",Something or somebody considered unlikely.
Comprehend,理解,Understand,Confuse,Elite,113,"To include, comprise; to contain.","To grasp a concept fully and thoroughly, especially (of words, statements, art, etc.) to be aware of the meaning of and (of people) to be aware of the intent of.","To puzzle, perplex, baffle, bewilder (somebody)."
Combination,結合/組合,Mixture,Single,Core,114,"The act of combining, the state of being combined or the result of combining.",The act of mixing.,A 45 RPM vinyl record with one song on side A and one on side B.
Offend,冒犯/進攻,Insult,Please,Core,114,To hurt the feelings of; to displease; to make angry; to insult.,Action or form of speech deliberately intended to be rude; a particular act or statement having this effect.,To make happy or satisfy; to give pleasure to.
Endure,忍受,Last,Quit,Core,114,"To continue or carry on, despite obstacles or hardships; to persist.","Final, ultimate, coming after all others of its kind.","To pay (a debt, fine etc.)."
Fatigue,疲勞。注意-u-不發音,Tiredness,Energy,Elite,114,A weariness caused by exertion; exhaustion.,The state of being tired.,The impetus behind all motion and all activity.
Courteous,有禮貌。注意-ou-,Polite,Rude,Elite,114,"Showing regard or thought for others; especially, displaying good manners or etiquette.",To polish; to refine; to render polite.,Bad-mannered.
Necessary,1隻貓2隻襪子(1C 2S),Essential,Optional,Core,115,"(usually with the definite article) A place to do the ""necessary"" business of urination and defecation: an outhouse or lavatory.",A necessary ingredient.,"Something that is not compulsory, especially part of an academic course."
Betray,背叛,Deceive,Loyal,Core,115,"To deliver into the hands of an enemy by treachery or fraud, in violation of trust; to give up treacherously or faithlessly.",To trick or mislead.,Having or demonstrating undivided and constant support for someone or something.
Plunge,跳入/驟降,Dive,Rise,Core,115,The act of plunging or submerging,A jump or plunge into water.,"To move, or appear to move, physically upwards relative to the ground."
Incentive,動力,Motivation,Deterrent,Elite,115,"Something that motivates, rouses, or encourages.",Willingness of action especially in behavior.,Something that deters.
Raiment,衣服/服裝,Clothing,,Elite,115,"Clothing, garments, dress, material.",To adorn or cover with clothing; to dress; to supply clothes or clothing.,
Occupy,雙C。佔領,Inhabit,Vacate,Core,116,(of time) To take or use.,To live or reside in.,"To move out of a dwelling, either by choice or by eviction."
Modest,謙虛的,Humble,Vain,Core,116,"Not bragging or boasting about oneself or one's achievements; unpretentious, humble.",(Baltimore) An arrest based on weak evidence intended to demean or punish the subject.,"Overly proud of oneself, especially concerning appearance; having a high opinion of one's own accomplishments with slight reason."
Article,文章/物品,Item,,Core,116,"A piece of nonfictional writing such as a story, report, opinion piece, or entry in a newspaper, magazine, journal, dictionary, encyclopedia, etc.",A distinct physical object.,
Procure,獲得/取得,Obtain,Lose,Elite,116,To acquire or obtain.,"To get hold of; to gain possession of, to procure; to acquire, in any way.","To cause (something) to cease to be in one's possession or capability due to unfortunate or unknown circumstances, events or reasons."
Commence,開始。雙M,Begin,Finish,Elite,116,"To begin, start.",Beginning; start.,An end; the end of anything.
Domestic,家庭的/國內的,Home,Foreign,Core,117,A house servant; a maid; a household worker.,A dwelling.,"A foreign person, particularly:"
Suspect,懷疑/嫌疑犯,Doubt,Trust,Core,117,"A person who is suspected of something, in particular of committing a crime.",Disbelief or uncertainty (about something); a particular instance of such disbelief or uncertainty.,Confidence in or reliance on some person or quality.
Secretary,秘書。Secret+ary,Assistant,Boss,Core,117,Someone entrusted with a secret; a confidant.,"Someone who is present; a bystander, a witness.",A person who oversees and directs the work of others; a supervisor.
Catastrophe,大災難,Disaster,Blessing,Elite,117,Any large and disastrous event of great significance,"An unexpected natural or man-made catastrophe of substantial extent causing significant physical damage or destruction, loss of life or sometimes permanent change to the natural environment.","To make something holy by religious rite, sanctify."
Lethargic,懶散,Lazy,Active,Elite,117,"Sluggish, slow",A lazy person.,A person or thing that is acting or capable of acting.
Boundary,邊界。注意-ary,Border,Center,Core,118,The dividing line or location between two areas.,The outer edge of something.,The point in the interior of a circle that is equidistant from all points on the circumference.
Brutal,殘忍的,Cruel,Kind,Core,118,"Savagely violent, vicious, ruthless, or cruel",To spoil or ruin (one's chance of success),"A type, race or category; a group of entities that have common characteristics such that they may be grouped together."
Imitate,模仿/仿效,Copy,Lead,Core,118,"To follow as a model or a pattern; to make a copy, counterpart or semblance of.",The result of copying; an identical duplicate of an original.,"A heavy, pliable, inelastic metal element, having a bright, bluish color, but easily tarnished; both malleable and ductile, though with little tenacity. It is easily fusible, forms alloys with other metals, and is an ingredient of solder and type metal. Atomic number 82, symbol Pb (from Latin plumbum)."
Inaudible,聽不見的,Silent,Loud,Elite,118,Unable to be heard or not loud enough to be heard.,That which is silent; a time of silence.,A loud sound or part of a sound.
Scarcity,缺乏,Shortage,Plenty,Elite,118,The condition of something being scarce or deficient,A lack or deficiency; an insufficient amount.,A more-than-adequate amount.
Sleek,光滑的/苗條的,Smooth,Rough,Core,119,That which makes smooth; varnish.,"Something that is smooth, or that goes smoothly and easily.",The unmowed part of a golf course.
Mortal,會死的/凡人的,Deadly,Immortal,Core,119,A human; someone susceptible to death.,Subject to death; mortal.,One who is not susceptible to death.
Abundance,豐富。注意字尾 -ance,Plenty,Scarcity,Core,119,A large quantity; many.,A more-than-adequate amount.,The condition of something being scarce or deficient
Malady,疾病/弊端,Illness,Health,Elite,119,"Any ailment or disease of the body; especially, a lingering or deep-seated disorder.",An instance of a disease or poor health.,"The state of being free from physical or psychological disease, illness, or malfunction; wellness."
Pompous,自大的/浮誇的,Arrogant,Humble,Elite,119,"Affectedly grand, solemn or self-important.","Having excessive pride in oneself, often with contempt or disrespect for others.",(Baltimore) An arrest based on weak evidence intended to demean or punish the subject.
Charred,燒焦的,Burnt,Fresh,Core,120,To burn something to charcoal.,To cause to be consumed by fire.,"A rush of water, along a river or onto the land; a flood."
Public,公眾的,Social,Private,Core,120,"The people in general, regardless of membership of any particular group.",A festive gathering to foster introductions.,A soldier of the lowest rank in the army.
Business,生意/事務。Busy 的名詞,Trade,,Core,120,A specific commercial enterprise or establishment.,Buying and selling of goods and services on a market.,
Fragrant,芬芳的。注意字尾-ant,Scented,Smelly,Elite,120,Sweet-smelling; having a pleasant (usually strong) scent or fragrance.,To detect the scent of; to discern by the sense of smell.,Having a bad smell.
Beck,召喚/小河,Signal,,Elite,120,A stream or small river.,A sequence of states representing an encoded message in a communication channel.,
Lean,傾斜/瘦的,Thin,Fat,Core,121,(of an object taller than its width and depth) An inclination away from the vertical.,"A loss or tearing of paper from the back of a stamp, although not sufficient to create a complete hole.","A specialized animal tissue with a high oil content, used for long-term storage of energy."
Handkerchief,手帕。D不發音，像Hand-Ker-Chief,Tissue,,Core,121,"A piece of cloth, usually square and often fine and elegant, carried for wiping the face, eyes, nose or hands.","Thin, woven, gauze-like fabric.",
Barren,荒蕪的。雙R,Infertile,Fertile,Elite,121,"An area of low fertility and habitation, a desolate place.",Not fertile.,(of land etc) capable of growing abundant crops; productive
Coy,羞怯的,Shy,Bold,Elite,121,"To caress, pet; to coax, entice.",An act of throwing.,A dwelling; habitation; building.
Oblivious,遺忘,Unaware,Mindful,Elite,121,"(usually followed by to or of) Lacking awareness; unmindful; unaware, unconscious of.",Not aware or informed; lacking knowledge.,"Being aware (of something); attentive, heedful."
Content,滿意的/內容,Satisfied,Unhappy,Core,122,"(except in phrases) Satisfaction, contentment; pleasure.",To do enough for; to meet the needs of; to fulfill the wishes or requirements of.,An individual who is not happy.
Soldier,士兵。注意中間有-i-,Warrior,Civilian,Core,122,"A member of an army, of any rank.","A person who is actively engaged in battle, conflict or warfare; a soldier or combatant.","A person following the pursuits of civil life, especially one who is not an active member of the armed forces."
Placid,平靜的/溫和的,Calm,Stormy,Elite,122,Calm and quiet; peaceful; tranquil,"(in a person) The state of being calm; peacefulness; absence of worry, anger, fear or other strong negative emotion.",Of or pertaining to storms.
Physiotherapy,物理治療,Treatment,,Elite,122,"Therapy that uses physical techniques such as massage, ultrasound, heat, and exercise",The process or manner of treating someone or something.,
Intricate,複雜,Complex,Simple,Elite,122,Having a great deal of fine detail or complexity.,A network of interconnected systems.,"A herbal preparation made from one plant, as opposed to something made from more than one plant."
Discern,辨別。-sc-拼寫,Notice,Miss,Elite,123,"To detect with the senses, especially with the eyes.",The act of observing; perception.,A failure to hit.
Exclaim,大聲呼喊,Shout,Whisper,Core,123,"Exclamation; outcry, clamor.","A loud burst of voice or voices; a violent and sudden outcry, especially that of a multitude expressing joy, triumph, exultation, anger, or animated courage.","The act of speaking in a quiet voice, especially, without vibration of the vocal cords."
Imperative,極重要,Vital,Trivial,Elite,123,"(grammar) The grammatical mood expressing an order (see jussive). In English, the imperative form of a verb is the same as that of the bare infinitive.","Relating to, or characteristic of life.",Any of the three liberal arts forming the trivium.
Obscure,模糊的/難解的,Vague,Clear,Elite,123,"To render obscure; to darken; to make dim; to keep in the dark; to hide; to make less visible, intelligible, legible, glorious, beautiful, or illustrious.",A wandering; a vagary.,"Full extent; distance between extreme limits; especially; the distance between the nearest surfaces of two bodies, or the space between walls."
Feasible,可行的,Possible,Impossible,Elite,123,Able to be done in practice.,A possible one.,An impossibility
